Restaurant,Menu_Category,Item_Name,Price
Dominos Pizza,Recommended,Classic Peppy Paneer Xtravaganza Meal,539
Dominos Pizza,Recommended,Classic Veggie Paradise Xtravaganza Meal,539
Dominos Pizza,Recommended,Classic Pepper BBQ Chicken Xtravaganza Meal,579
Dominos Pizza,Recommended,Cheese Burst Peppy Paneer Xtravaganza Meal,609
Dominos Pizza,Recommended,Cheese Burst Veggie Paradise Xtravaganza Meal,609
Dominos Pizza,Big Big Pizza,Big Big 6in1 Pizza Veg,799
Dominos Pizza,Big Big Pizza,Big Big 6in1 Cheeseburst Veg,899
Dominos Pizza,Cheese Burst - 3 New Flavours,Peppy Paneer Cheese Burst,349
Dominos Pizza,Cheese Burst - 3 New Flavours,Farmhouse Cheese Burst,399
Dominos Pizza,Cheese Burst - 3 New Flavours,Veggie Paradise Cheese Burst,375
Burger King,Recommended,Original Whopper Veg,189
Burger King,Recommended,Original Whopper Chicken,229
Burger King,Recommended,Crispy Veg Burger,79
Burger King,Recommended,Crispy Chicken Burger,99
Burger King,Sides & Snacks,King Fries,109
Burger King,Sides & Snacks,Medium Fries,79
Burger King,Burgers Wraps & More,Veg Makhani Burst Burger,169
Burger King,Burgers Wraps & More,Crispy Chicken Double Patty Burger,199
KFC,Recommended,Wednesday Chicken Bucket,798
KFC,Recommended,Wednesday Chicken Strips Bucket,649
KFC,Recommended,Wednesday Value Special Chicken Bucket,549
KFC,Chicken Burgers and Meals,Chicken Zinger Burger Classic,229
KFC,Chicken Burgers and Meals,Chicken Zinger Burger Tandoori,228
KFC,Rolls,Classic Chicken Roll,129
KFC,Hot & Crispy Chicken & Wings,Hot Chicken Wings 4pc,189
KFC,Boneless Chicken Popcorn,Chicken Popcorn Large,269
KFC,Boneless Chicken Popcorn,Chicken Popcorn Medium,199
Behrouz Biryani,Recommended,Signature Lazeez Bhuna Murgh Biryani,399
Behrouz Biryani,Recommended,Signature Dum Gosht Biryani,509
Behrouz Biryani,Recommended,Signature Zaikedar Paneer Biryani,399
Behrouz Biryani,Signature Biryani,Signature Tokhm-e-Biryani,379
Behrouz Biryani,Signature Biryani,Signature Subz-e-Biryani,379
Behrouz Biryani,Signature Biryani,Hyderabadi Dum Gosht Biryani,599
Anna's House of Dosa,Idli & Vada,Idli Fry,85
Anna's House of Dosa,Idli & Vada,Idli (2 Piece),80
Anna's House of Dosa,Idli & Vada,Cheese Idli Fry,130
Anna's House of Dosa,Anna's Special Dosa,Ghee Podi Dosa,135
Anna's House of Dosa,Anna's Special Dosa,Rasam,50
Anna's House of Dosa,Cheese Dosa,Cheese Sada Dosa,145
Anna's House of Dosa,Cheese Dosa,Cheese Masala Dosa,135
Anna's House of Dosa,Cheese Dosa,Cheese Paneer Dosa,200
Anna's House of Dosa,Garlic & Cheese Dosa,Garlic Cheese Mysore Masala Dosa,175
Anna's House of Dosa,Garlic & Cheese Dosa,Garlic Cheese Uttappa,175
Anna's House of Dosa,Garlic & Cheese Dosa,Garlic Cheese Masala Dosa,99
